time,土壤蒸发量(mm)
2012-01-01,0.61
2012-02-01,0.86
2012-03-01,1.91
2012-04-01,7.2
2012-05-01,18.1
2012-06-01,33.53
2012-07-01,31.48
2012-08-01,14.27
2012-09-01,13.36
2012-10-01,8.13
2012-11-01,0.92
2012-12-01,0.34
2013-01-01,0.4
2013-02-01,0.78
2013-03-01,3.37
2013-04-01,4.99
2013-05-01,12.45
2013-06-01,38.54
2013-07-01,39.26
2013-08-01,21.73
2013-09-01,9.51
2013-10-01,5.9
2013-11-01,2.03
2013-12-01,0.4
2014-01-01,0.67
2014-02-01,0.42
2014-03-01,14.46
2014-04-01,20.12
2014-05-01,25.29
2014-06-01,28.85
2014-07-01,23.14
2014-08-01,11.07
2014-09-01,5.32
2014-10-01,8.8
2014-11-01,3.9
2014-12-01,0.73
2015-01-01,0.46
2015-02-01,0.56
2015-03-01,1.54
2015-04-01,12.64
2015-05-01,16.06
2015-06-01,21.54
2015-07-01,18.79
2015-08-01,11.11
2015-09-01,12.5
2015-10-01,10.17
2015-11-01,2.03
2015-12-01,0.65
2016-01-01,0.63
2016-02-01,0.95
2016-03-01,2.76
2016-04-01,4.47
2016-05-01,23.75
2016-06-01,24.91
2016-07-01,22.05
2016-08-01,6.89
2016-09-01,9.83
2016-10-01,9.8
2016-11-01,6.01
2016-12-01,1.46
2017-01-01,0.67
2017-02-01,1.04
2017-03-01,2.15
2017-04-01,4.1
2017-05-01,8.55
2017-06-01,10.7
2017-07-01,14.58
2017-08-01,11.84
2017-09-01,6.85
2017-10-01,4.37
2017-11-01,1.99
2017-12-01,0.73
2018-01-01,0.45
2018-02-01,0.45
2018-03-01,1.23
2018-04-01,12.76
2018-05-01,12.66
2018-06-01,16.37
2018-07-01,27.6
2018-08-01,15.7
2018-09-01,13.17
2018-10-01,6.53
2018-11-01,1.98
2018-12-01,1.22
2019-01-01,0.79
2019-02-01,0.32
2019-03-01,1.28
2019-04-01,5.0
2019-05-01,22.68
2019-06-01,21.56
2019-07-01,20.25
2019-08-01,15.29
2019-09-01,4.85
2019-10-01,5.05
2019-11-01,3.05
2019-12-01,0.56
2020-01-01,0.36
2020-02-01,0.63
2020-03-01,2.78
2020-04-01,10.89
2020-05-01,21.31
2020-06-01,24.06
2020-07-01,32.37
2020-08-01,24.66
2020-09-01,17.58
2020-10-01,11.99
2020-11-01,2.52
2020-12-01,1.51
2021-01-01,1.13
2021-02-01,1.53
2021-03-01,7.5
2021-04-01,11.14
2021-05-01,16.38
2021-06-01,25.57
2021-07-01,30.88
2021-08-01,19.25
2021-09-01,17.94
2021-10-01,10.48
2021-11-01,1.44
2021-12-01,0.93
2022-01-01,0.44
2022-02-01,0.27
2022-03-01,5.98
