time,植被指数(NDVI)
2012-01-01,0.002
2012-02-01,0.002
2012-03-01,0.12
2012-04-01,0.168
2012-05-01,0.195
2012-06-01,0.408
2012-07-01,0.53
2012-08-01,0.597
2012-09-01,0.475
2012-10-01,0.282
2012-11-01,0.176
2012-12-01,0.018
2013-01-01,0.002
2013-02-01,-0.006
2013-03-01,0.191
2013-04-01,0.183
2013-05-01,0.223
2013-06-01,0.475
2013-07-01,0.404
2013-08-01,0.459
2013-09-01,0.384
2013-10-01,0.266
2013-11-01,0.227
2013-12-01,0.211
2014-01-01,0.176
2014-02-01,0.187
2014-03-01,0.18
2014-04-01,0.183
2014-05-01,0.235
2014-06-01,0.329
2014-07-01,0.435
2014-08-01,0.369
2014-09-01,0.341
2014-10-01,0.254
2014-11-01,0.211
2014-12-01,0.203
2015-01-01,0.038
2015-02-01,0.164
2015-03-01,0.172
2015-04-01,0.172
2015-05-01,0.219
2015-06-01,0.376
2015-07-01,0.471
2015-08-01,0.439
2015-09-01,0.369
2015-10-01,0.254
2015-11-01,0.203
2015-12-01,0.022
2016-01-01,-0.017
2016-02-01,-0.017
2016-03-01,0.172
2016-04-01,0.172
2016-05-01,0.199
2016-06-01,0.27
2016-07-01,0.349
2016-08-01,0.357
2016-09-01,0.317
2016-10-01,0.243
2016-11-01,0.203
2016-12-01,0.199
2017-01-01,0.034
2017-02-01,0.172
2017-03-01,0.172
2017-04-01,0.172
2017-05-01,0.18
2017-06-01,0.203
2017-07-01,0.302
2017-08-01,0.38
2017-09-01,0.298
2017-10-01,0.231
2017-11-01,0.211
2017-12-01,0.042
2018-01-01,0.03
2018-02-01,0.183
2018-03-01,0.176
2018-04-01,0.18
2018-05-01,0.191
2018-06-01,0.207
2018-07-01,0.569
2018-08-01,0.577
2018-09-01,0.479
2018-10-01,0.29
2018-11-01,0.227
2018-12-01,0.203
2019-01-01,0.203
2019-02-01,0.203
2019-03-01,0.195
2019-04-01,0.183
2019-05-01,0.207
2019-06-01,0.266
2019-07-01,0.329
2019-08-01,0.325
2019-09-01,0.282
2019-10-01,0.227
2019-11-01,0.195
2019-12-01,0.18
2020-01-01,-0.009
2020-02-01,0.002
2020-03-01,0.187
2020-04-01,0.176
2020-05-01,0.187
2020-06-01,0.258
2020-07-01,0.605
2020-08-01,0.581
2020-09-01,0.467
2020-10-01,0.278
2020-11-01,0.219
2020-12-01,0.231
2021-01-01,-0.002
2021-02-01,0.002
2021-03-01,0.203
2021-04-01,0.195
2021-05-01,0.227
2021-06-01,0.337
2021-07-01,0.388
2021-08-01,0.542
2021-09-01,0.51
2021-10-01,0.325
2021-11-01,0.239
2021-12-01,0.026
2022-01-01,0.01
2022-02-01,0.01
2022-03-01,0.187
2022-04-01,0.191
