year,放牧强度（intensity）,放牧小区（plot）
2012,HGI,G13
2012,HGI,G20
2012,HGI,G9
2012,LGI,G12
2012,LGI,G18
2012,LGI,G6
2012,MGI,G11
2012,MGI,G16
2012,MGI,G8
2012,NG,G17
2012,NG,G19
2012,NG,G21
2014,HGI,G13
2014,HGI,G20
2014,HGI,G9
2014,LGI,G12
2014,LGI,G18
2014,LGI,G6
2014,MGI,G11
2014,MGI,G16
2014,MGI,G8
2014,NG,G17
2014,NG,G19
2014,NG,G21
2016,HGI,G13
2016,HGI,G20
2016,HGI,G9
2016,LGI,G12
2016,LGI,G18
2016,LGI,G6
2016,MGI,G11
2016,MGI,G16
2016,MGI,G8
2016,NG,G17
2016,NG,G19
2016,NG,G21
2018,HGI,G13
2018,HGI,G20
2018,HGI,G9
2018,LGI,G12
2018,LGI,G18
2018,LGI,G6
2018,MGI,G11
2018,MGI,G16
2018,MGI,G8
2018,NG,G17
2018,NG,G19
2018,NG,G21
2020,HGI,G13
2020,HGI,G20
2020,HGI,G9
2020,LGI,G12
2020,LGI,G18
2020,LGI,G6
2020,MGI,G11
2020,MGI,G16
2020,MGI,G8
2020,NG,G17
2020,NG,G19
2020,NG,G21
