人口密度(person/km2),牲畜密度(sheep unit/km2),人均家庭经营纯收入(yuan),year,监测点
0.8333232628398791,5.304423076923077,1056.0,2018,牧户1
0.8333265306122449,5.235,1554.0,2019,牧户1
0.8333369447453954,4.930576923076923,1286.0,2020,牧户1
0.6666666666666666,4.423076923076923,2195.0,2018,牧户2
0.6666666666666666,4.038461538461538,2419.5,2019,牧户2
0.6666666666666666,3.8461538461538463,3117.5,2020,牧户2
0.5,11.572115384615385,3892.4999999999995,2018,牧户3
0.5,9.461538461538462,4233.75,2019,牧户3
0.5,10.014423076923077,4483.75,2020,牧户3
1.7564285714285715,4.728846153846154,333.0,2018,牧户4
1.7564285714285715,4.728846153846154,333.0,2019,牧户4
1.7756944444444445,4.917307692307692,300.0,2020,牧户4
