日期,"低层植被(LAIL,m2/m2)"
2012-01-01,0.636
2012-02-01,0.652
2012-03-01,0.717
2012-04-01,0.727
2012-05-01,0.739
2012-06-01,0.827
2012-07-01,0.964
2012-08-01,0.983
2012-09-01,0.847
2012-10-01,0.738
2012-11-01,0.71
2012-12-01,0.648
2013-01-01,0.636
2013-02-01,0.651
2013-03-01,0.717
2013-04-01,0.727
2013-05-01,0.739
2013-06-01,0.827
2013-07-01,0.964
2013-08-01,0.983
2013-09-01,0.847
2013-10-01,0.738
2013-11-01,0.71
2013-12-01,0.648
2014-01-01,0.636
2014-02-01,0.651
2014-03-01,0.717
2014-04-01,0.727
2014-05-01,0.739
2014-06-01,0.827
2014-07-01,0.964
2014-08-01,0.983
2014-09-01,0.847
2014-10-01,0.738
2014-11-01,0.71
2014-12-01,0.648
2015-01-01,0.636
2015-02-01,0.651
2015-03-01,0.717
2015-04-01,0.727
2015-05-01,0.739
2015-06-01,0.827
2015-07-01,0.964
2015-08-01,0.983
2015-09-01,0.847
2015-10-01,0.738
2015-11-01,0.71
2015-12-01,0.648
2016-01-01,0.636
2016-02-01,0.652
2016-03-01,0.717
2016-04-01,0.727
2016-05-01,0.739
2016-06-01,0.827
2016-07-01,0.964
2016-08-01,0.983
2016-09-01,0.847
2016-10-01,0.738
2016-11-01,0.71
2016-12-01,0.648
2017-01-01,0.636
2017-02-01,0.651
2017-03-01,0.717
2017-04-01,0.727
2017-05-01,0.739
2017-06-01,0.827
2017-07-01,0.964
2017-08-01,0.983
2017-09-01,0.847
2017-10-01,0.738
2017-11-01,0.71
2017-12-01,0.648
2018-01-01,0.636
2018-02-01,0.651
2018-03-01,0.717
2018-04-01,0.727
2018-05-01,0.739
2018-06-01,0.827
2018-07-01,0.964
2018-08-01,0.983
2018-09-01,0.847
2018-10-01,0.738
2018-11-01,0.71
2018-12-01,0.648
2019-01-01,0.636
2019-02-01,0.651
2019-03-01,0.717
2019-04-01,0.727
2019-05-01,0.739
2019-06-01,0.827
2019-07-01,0.964
2019-08-01,0.983
2019-09-01,0.847
2019-10-01,0.738
2019-11-01,0.71
2019-12-01,0.648
2020-01-01,0.636
2020-02-01,0.652
2020-03-01,0.717
2020-04-01,0.727
2020-05-01,0.739
2020-06-01,0.827
2020-07-01,0.964
2020-08-01,0.983
2020-09-01,0.847
2020-10-01,0.738
2020-11-01,0.71
2020-12-01,0.648
2021-01-01,0.636
2021-02-01,0.651
2021-03-01,0.717
2021-04-01,0.727
2021-05-01,0.739
2021-06-01,0.827
2021-07-01,0.964
2021-08-01,0.983
2021-09-01,0.847
2021-10-01,0.738
2021-11-01,0.71
2021-12-01,0.648
2022-01-01,0.63638
2022-02-01,0.65073
2022-03-01,0.71679
2022-04-01,0.72653
2022-05-01,0.7395
2022-06-01,0.82662
2022-07-01,0.96435
