,属性,取值
0,经度(lon),115.375
1,纬度(lat),44.125
2,类型,栗钙土
3,表土质地,中
4,排水等级(0-0.5%坡度),4-适中
5,土壤参考深度(cm),100.0
6,土壤有效水含量(mm),1.0
7,浅层砾石含量%,8.0
8,浅层沙含量%,37.0
9,浅层淤泥含量%,42.0
10,浅层黏土含量%,21.0
11,浅层质地分类,9.0
12,浅层参考容重(kg/dm3),1.39
13,浅层有机碳(% weight),1.2
14,浅层酸碱度pH,7.3
15,浅层黏土阳离子交换能力(cmol/kg),83.0
16,浅层阳离子交换能力(cmol/kg),22.0
17,浅层盐基饱和度(%),100.0
18,浅层交换性盐基(cmol/kg),16.1
19,浅层碳酸钙含量(% weight),6.0
20,浅层硫酸钙含量(% weight),0.0
21,浅层碱度%,3.0
22,浅层盐度(dS/m),1.9
23,深层砾石含量%,5.0
24,深层沙含量%,37.0
25,深层淤泥含量%,43.0
26,深层黏土含量%,20.0
27,深层质地分类,9.0
28,深层参考容重(kg/dm3),1.4
29,深层有机碳(% weight),0.48
30,深层酸碱度pH,7.9
31,深层黏土阳离子交换能力(cmol/kg),97.0
32,深层阳离子交换能力(cmol/kg),19.0
33,深层盐基饱和度(%),100.0
34,深层交换性盐基(cmol/kg),15.5
35,深层碳酸钙含量(% weight),11.2
36,深层硫酸钙含量(% weight),0.0
37,深层碱度%,4.0
38,深层盐度(dS/m),3.4
